timestamp,batterie_id,site_id,soc_pct,puissance_mw,temperature_c,cycles_vie
2025-01-20 00:00:00,BAT_001,SITE_IND_001,50.5,0.204,31.7,2192
2025-01-20 00:00:00,BAT_002,SITE_IND_002,51.7,0.471,22.0,1085
2025-01-20 00:00:00,BAT_003,SITE_RES_001,50.6,0.052,28.5,2069
2025-01-20 00:15:00,BAT_001,SITE_IND_001,52.2,0.675,25.8,1769
2025-01-20 00:15:00,BAT_002,SITE_IND_002,53.1,0.393,16.8,2970
2025-01-20 00:15:00,BAT_003,SITE_RES_001,52.3,0.131,20.4,2908
2025-01-20 00:30:00,BAT_001,SITE_IND_001,53.4,0.492,24.3,2550
2025-01-20 00:30:00,BAT_002,SITE_IND_002,54.1,0.282,30.6,1879
2025-01-20 00:30:00,BAT_003,SITE_RES_001,53.3,0.08,27.3,2396
2025-01-20 00:45:00,BAT_001,SITE_IND_001,55.3,0.734,19.2,1645
2025-01-20 00:45:00,BAT_002,SITE_IND_002,55.8,0.483,24.3,2927
2025-01-20 00:45:00,BAT_003,SITE_RES_001,54.3,0.083,35.1,1816
2025-01-20 01:00:00,BAT_001,SITE_IND_001,56.3,0.427,25.6,1117
2025-01-20 01:00:00,BAT_002,SITE_IND_002,57.8,0.55,23.4,2788
2025-01-20 01:00:00,BAT_003,SITE_RES_001,55.3,0.08,27.5,1205
2025-01-20 01:15:00,BAT_001,SITE_IND_001,56.8,0.202,28.8,2782
2025-01-20 01:15:00,BAT_002,SITE_IND_002,59.3,0.433,22.7,2485
2025-01-20 01:15:00,BAT_003,SITE_RES_001,57.1,0.14,27.5,2894
2025-01-20 01:30:00,BAT_001,SITE_IND_001,57.5,0.283,23.4,2232
2025-01-20 01:30:00,BAT_002,SITE_IND_002,60.0,0.192,28.6,2086
2025-01-20 01:30:00,BAT_003,SITE_RES_001,58.0,0.074,25.8,2432
2025-01-20 01:45:00,BAT_001,SITE_IND_001,59.2,0.651,27.4,1509
2025-01-20 01:45:00,BAT_002,SITE_IND_002,61.1,0.295,21.2,2266
2025-01-20 01:45:00,BAT_003,SITE_RES_001,59.5,0.122,20.9,2781
2025-01-20 02:00:00,BAT_001,SITE_IND_001,60.4,0.485,29.7,1846
2025-01-20 02:00:00,BAT_002,SITE_IND_002,62.6,0.417,24.6,1006
2025-01-20 02:00:00,BAT_003,SITE_RES_001,61.5,0.158,26.4,2961
2025-01-20 02:15:00,BAT_001,SITE_IND_001,62.3,0.765,23.5,1659
2025-01-20 02:15:00,BAT_002,SITE_IND_002,63.1,0.147,29.5,1737
2025-01-20 02:15:00,BAT_003,SITE_RES_001,63.3,0.145,22.0,2985
2025-01-20 02:30:00,BAT_001,SITE_IND_001,64.0,0.685,24.3,1666
2025-01-20 02:30:00,BAT_002,SITE_IND_002,64.6,0.425,28.9,1478
2025-01-20 02:30:00,BAT_003,SITE_RES_001,64.7,0.113,30.9,1819
2025-01-20 02:45:00,BAT_001,SITE_IND_001,65.6,0.644,22.4,2626
2025-01-20 02:45:00,BAT_002,SITE_IND_002,65.2,0.174,34.8,1876
2025-01-20 02:45:00,BAT_003,SITE_RES_001,,,26.6,2928
2025-01-20 03:00:00,BAT_001,SITE_IND_001,67.5,0.759,19.8,2348
2025-01-20 03:00:00,BAT_002,SITE_IND_002,67.0,0.5,26.8,2853
2025-01-20 03:00:00,BAT_003,SITE_RES_001,67.3,0.052,23.1,1788
2025-01-20 03:15:00,BAT_001,SITE_IND_001,68.5,0.376,27.2,1399
2025-01-20 03:15:00,BAT_002,SITE_IND_002,68.6,0.439,24.8,2781
2025-01-20 03:15:00,BAT_003,SITE_RES_001,68.6,0.102,25.4,2171
2025-01-20 03:30:00,BAT_001,SITE_IND_001,70.1,0.671,20.4,2467
2025-01-20 03:30:00,BAT_002,SITE_IND_002,69.8,0.352,30.0,1261
2025-01-20 03:30:00,BAT_003,SITE_RES_001,69.8,0.1,19.2,1178
