timestamp,site_id,consommation_mw,tension_v,frequence_hz,status_capteur
2025-01-20 00:00:00,SITE_IND_001,1.612,229.3,50.06,OK
2025-01-20 00:00:00,SITE_IND_002,1.29,228.8,49.98,OK
2025-01-20 00:00:00,SITE_COM_001,0.247,233.8,49.95,OK
2025-01-20 00:00:00,SITE_COM_002,0.162,227.7,49.95,OK
2025-01-20 00:00:00,SITE_RES_001,0.166,220.4,49.83,OK
2025-01-20 00:00:00,SITE_RES_002,0.11,224.9,50.03,OK
2025-01-20 00:15:00,SITE_IND_001,1.296,222.9,50.15,OK
2025-01-20 00:15:00,SITE_IND_002,1.014,230.3,49.86,OK
2025-01-20 00:15:00,SITE_COM_001,0.184,230.6,49.88,OK
2025-01-20 00:15:00,SITE_COM_002,0.158,227.0,49.97,OK
2025-01-20 00:15:00,SITE_RES_001,0.146,239.3,50.0,OK
2025-01-20 00:15:00,SITE_RES_002,0.101,234.1,49.88,OK
2025-01-20 00:30:00,SITE_IND_001,1.547,220.2,49.87,OK
2025-01-20 00:30:00,SITE_IND_002,1.081,233.7,50.02,OK
2025-01-20 00:30:00,SITE_COM_001,0.197,228.5,49.85,OK
2025-01-20 00:30:00,SITE_COM_002,0.134,227.7,50.11,OK
2025-01-20 00:30:00,SITE_RES_001,0.168,221.2,50.03,OK
2025-01-20 00:30:00,SITE_RES_002,0.113,226.6,50.06,OK
2025-01-20 00:45:00,SITE_IND_001,1.732,234.7,49.92,OK
2025-01-20 00:45:00,SITE_IND_002,1.001,231.7,50.1,OK
2025-01-20 00:45:00,SITE_COM_001,0.186,229.1,49.89,OK
2025-01-20 00:45:00,SITE_COM_002,0.123,234.1,50.14,OK
2025-01-20 00:45:00,SITE_RES_001,0.158,235.0,50.04,OK
2025-01-20 00:45:00,SITE_RES_002,0.108,231.8,50.15,OK
2025-01-20 01:00:00,SITE_IND_001,1.492,237.8,49.74,OK
2025-01-20 01:00:00,SITE_IND_002,1.179,230.4,49.97,OK
2025-01-20 01:00:00,SITE_COM_001,0.203,220.1,49.98,OK
2025-01-20 01:00:00,SITE_COM_002,0.158,237.4,49.95,OK
2025-01-20 01:00:00,SITE_RES_001,0.141,227.5,50.09,OK
2025-01-20 01:00:00,SITE_RES_002,0.126,227.4,50.05,OK
2025-01-20 01:15:00,SITE_IND_001,1.522,234.8,49.93,OK
2025-01-20 01:15:00,SITE_IND_002,0.998,228.0,49.85,OK
2025-01-20 01:15:00,SITE_COM_001,0.209,231.3,50.0,OK
2025-01-20 01:15:00,SITE_COM_002,0.145,222.9,49.96,OK
2025-01-20 01:15:00,SITE_RES_001,0.152,226.0,49.98,OK
2025-01-20 01:15:00,SITE_RES_002,0.127,239.4,50.02,OK
