ReadingDate,PlantID,Production_kWh,Debit_m3_s,Niveau_m,Alert
01/01/2025,HYD_RHONE,16619.588578395254,30.497079318903285,69.73006531205344,SensorError
01/01/2025,HYD_ALPES,13538.464098260987,29.381936988341543,71.12928861998319,None
01/01/2025,HYD_PYR,13863.653788293755,29.867676739445095,71.59824399659145,HighLevel
02/01/2025,HYD_RHONE,21228.262401544667,24.519659128521006,71.76651753054014,None
02/01/2025,HYD_ALPES,18993.917488300565,30.873896974656436,77.56457861514963,None
02/01/2025,HYD_PYR,16983.130541119,31.577553505818795,77.87223677792876,None
03/01/2025,HYD_RHONE,18480.24824013897,15.124127376508852,66.0557834463993,None
03/01/2025,HYD_ALPES,15967.882590636931,35.63646462010055,78.40775804720455,None
03/01/2025,HYD_PYR,16902.7977234391,16.87675262287057,76.50808476690078,LowFlow
04/01/2025,HYD_RHONE,18459.1642624464,20.103840965716554,71.68364949459011,None
04/01/2025,HYD_ALPES,8317.732882747561,30.17772251249864,63.156214917743426,None
04/01/2025,HYD_PYR,19643.327888747237,33.38122156659044,73.27585489396095,None
05/01/2025,HYD_RHONE,19370.492840397004,29.980279036624538,69.87634510483817,None
05/01/2025,HYD_ALPES,13233.384546991663,30.930043663983913,75.32929383057412,None
05/01/2025,HYD_PYR,20927.589561395547,17.76981145198461,75.87962038502259,None
06/01/2025,HYD_RHONE,7774.203818289383,23.286927807500362,79.91445376835532,None
06/01/2025,HYD_ALPES,17541.22172229226,9.546650952753609,65.63287381655502,None
06/01/2025,HYD_PYR,16351.745576913763,19.730932220100087,84.83020345187131,None
07/01/2025,HYD_RHONE,15024.00991614213,15.925429218291425,77.37172396140357,None
07/01/2025,HYD_ALPES,16273.595844451791,28.119889175709382,76.2855050753934,None
07/01/2025,HYD_PYR,18414.376121644742,49.205160664096624,83.49845287439146,SensorError
08/01/2025,HYD_RHONE,9338.840634856228,34.84108728149897,73.90702579184818,None
08/01/2025,HYD_ALPES,20003.665443098133,7.796257600696716,78.20188306607241,None
08/01/2025,HYD_PYR,14640.960652952897,14.34126335692231,73.01862839900564,None
09/01/2025,HYD_RHONE,20058.72082306378,16.31054063711067,77.04491343405427,None
09/01/2025,HYD_ALPES,18645.367175069783,12.203507080090176,78.96964164280087,None
09/01/2025,HYD_PYR,14561.933464419148,25.457700602950972,78.3535683847044,None
10/01/2025,HYD_RHONE,15898.56045377039,30.058800221954634,62.928088256590556,None
10/01/2025,HYD_ALPES,16121.798177054714,16.36316782988331,69.51709418367483,None
10/01/2025,HYD_PYR,22303.78944676136,25.99260298031379,79.03081302250607,None
11/01/2025,HYD_RHONE,11866.306010273798,29.981918666303223,74.98881735984075,None
11/01/2025,HYD_ALPES,14535.323144231032,34.290782365102906,71.7034257587551,None
11/01/2025,HYD_PYR,10187.68540667446,29.40494817233985,75.04590059130433,None
12/01/2025,HYD_RHONE,16670.851333417064,30.973609999052066,65.37783137907428,None
12/01/2025,HYD_ALPES,13830.665748736732,27.663304166435235,76.71887111376479,None
