timestamp,price_eur_mwh,volume_mwh,market
2025-01-01T00:00:00,69.64,2110,EPEX Spot
2025-01-01T00:15:00,69.99,1002,EPEX Spot
2025-01-01T00:30:00,50.82,4095,EPEX Spot
2025-01-01T00:45:00,54.17,1210,EPEX Spot
2025-01-01T01:00:00,30.0,4431,EPEX Spot
2025-01-01T01:15:00,39.05,1004,EPEX Spot
2025-01-01T01:30:00,37.76,1264,EPEX Spot
2025-01-01T01:45:00,41.02,3863,EPEX Spot
2025-01-01T02:00:00,67.44,1193,EPEX Spot
2025-01-01T02:15:00,75.63,1661,EPEX Spot
2025-01-01T02:30:00,62.21,4555,EPEX Spot
2025-01-01T02:45:00,43.53,1858,EPEX Spot
2025-01-01T03:00:00,35.08,1986,EPEX Spot
2025-01-01T03:15:00,51.81,2978,EPEX Spot
2025-01-01T03:30:00,55.93,4901,EPEX Spot
2025-01-01T03:45:00,45.58,2018,EPEX Spot
2025-01-01T04:00:00,36.82,1668,EPEX Spot
2025-01-01T04:15:00,62.31,1081,EPEX Spot
2025-01-01T04:30:00,64.27,972,EPEX Spot
2025-01-01T04:45:00,30.0,894,EPEX Spot
2025-01-01T05:00:00,42.33,3230,EPEX Spot
2025-01-01T05:15:00,65.56,564,EPEX Spot
2025-01-01T05:30:00,69.77,2721,EPEX Spot
2025-01-01T05:45:00,51.29,3592,EPEX Spot
2025-01-01T06:00:00,157.31,4778,EPEX Spot
2025-01-01T06:15:00,155.05,4203,EPEX Spot
2025-01-01T06:30:00,169.09,2432,EPEX Spot
2025-01-01T06:45:00,127.82,4710,EPEX Spot
2025-01-01T07:00:00,155.35,3652,EPEX Spot
2025-01-01T07:15:00,132.22,997,EPEX Spot
2025-01-01T07:30:00,171.76,4728,EPEX Spot
2025-01-01T07:45:00,128.83,3664,EPEX Spot
2025-01-01T08:00:00,158.17,4954,EPEX Spot
2025-01-01T08:15:00,132.33,2689,EPEX Spot
2025-01-01T08:30:00,165.05,3609,EPEX Spot
2025-01-01T08:45:00,158.79,1609,EPEX Spot
2025-01-01T09:00:00,84.79,2631,EPEX Spot
2025-01-01T09:15:00,119.22,4216,EPEX Spot
2025-01-01T09:30:00,65.95,1343,EPEX Spot
2025-01-01T09:45:00,98.52,3432,EPEX Spot
2025-01-01T10:00:00,103.44,3751,EPEX Spot
2025-01-01T10:15:00,98.53,2146,EPEX Spot
2025-01-01T10:30:00,66.45,4104,EPEX Spot
2025-01-01T10:45:00,75.31,2293,EPEX Spot
2025-01-01T11:00:00,67.88,3145,EPEX Spot
2025-01-01T11:15:00,74.05,2603,EPEX Spot
2025-01-01T11:30:00,63.18,3220,EPEX Spot
2025-01-01T11:45:00,72.74,3966,EPEX Spot
2025-01-01T12:00:00,109.35,1620,EPEX Spot
2025-01-01T12:15:00,73.62,2626,EPEX Spot
2025-01-01T12:30:00,82.12,4468,EPEX Spot
2025-01-01T12:45:00,65.49,1520,EPEX Spot
2025-01-01T13:00:00,79.7,3236,EPEX Spot
2025-01-01T13:15:00,96.53,1137,EPEX Spot
2025-01-01T13:30:00,89.79,4324,EPEX Spot
2025-01-01T13:45:00,108.37,831,EPEX Spot
2025-01-01T14:00:00,371.08,2738,EPEX Spot
2025-01-01T14:15:00,64.87,3429,EPEX Spot
2025-01-01T14:30:00,71.74,4728,EPEX Spot
2025-01-01T14:45:00,110.5,2332,EPEX Spot
2025-01-01T15:00:00,85.98,4086,EPEX Spot
2025-01-01T15:15:00,51.66,1447,EPEX Spot
2025-01-01T15:30:00,101.84,3912,EPEX Spot
2025-01-01T15:45:00,82.19,955,EPEX Spot
2025-01-01T16:00:00,97.81,4532,EPEX Spot
2025-01-01T16:15:00,111.67,1965,EPEX Spot
2025-01-01T16:30:00,60.45,1976,EPEX Spot
2025-01-01T16:45:00,111.66,2050,EPEX Spot
2025-01-01T17:00:00,148.52,3705,EPEX Spot
2025-01-01T17:15:00,141.72,1441,EPEX Spot
2025-01-01T17:30:00,153.09,4842,EPEX Spot
2025-01-01T17:45:00,126.15,4147,EPEX Spot
2025-01-01T18:00:00,149.6,1496,EPEX Spot
2025-01-01T18:15:00,145.15,2360,EPEX Spot
2025-01-01T18:30:00,131.24,786,EPEX Spot
2025-01-01T18:45:00,137.07,911,EPEX Spot
2025-01-01T19:00:00,172.76,4679,EPEX Spot
2025-01-01T19:15:00,146.45,2272,EPEX Spot
2025-01-01T19:30:00,130.39,1478,EPEX Spot
2025-01-01T19:45:00,158.96,4750,EPEX Spot
2025-01-01T20:00:00,165.33,4270,EPEX Spot
2025-01-01T20:15:00,149.96,2506,EPEX Spot
2025-01-01T20:30:00,125.32,2259,EPEX Spot
2025-01-01T20:45:00,99.07,4509,EPEX Spot
2025-01-01T21:00:00,61.98,2550,EPEX Spot
2025-01-01T21:15:00,101.09,760,EPEX Spot
2025-01-01T21:30:00,99.26,2944,EPEX Spot
2025-01-01T21:45:00,64.08,1768,EPEX Spot
2025-01-01T22:00:00,45.28,3309,EPEX Spot
2025-01-01T22:15:00,63.96,2678,EPEX Spot
2025-01-01T22:30:00,47.23,1314,EPEX Spot
2025-01-01T22:45:00,68.73,4861,EPEX Spot
2025-01-01T23:00:00,48.06,4942,EPEX Spot
2025-01-01T23:15:00,59.63,1149,EPEX Spot
2025-01-01T23:30:00,43.54,4372,EPEX Spot
2025-01-01T23:45:00,34.32,4322,EPEX Spot
2025-01-02T00:00:00,73.31,1726,EPEX Spot
2025-01-02T00:15:00,30.0,1062,EPEX Spot
2025-01-02T00:30:00,38.01,2585,EPEX Spot
2025-01-02T00:45:00,48.11,1561,EPEX Spot
2025-01-02T01:00:00,67.17,3891,EPEX Spot
2025-01-02T01:15:00,32.42,3097,EPEX Spot
2025-01-02T01:30:00,52.54,4881,EPEX Spot
2025-01-02T01:45:00,30.0,938,EPEX Spot
2025-01-02T02:00:00,58.81,1534,EPEX Spot
2025-01-02T02:15:00,86.47,1432,EPEX Spot
2025-01-02T02:30:00,30.0,2163,EPEX Spot
2025-01-02T02:45:00,35.45,833,EPEX Spot
2025-01-02T03:00:00,66.74,1017,EPEX Spot
2025-01-02T03:15:00,108.87,1968,EPEX Spot
2025-01-02T03:30:00,61.76,3752,EPEX Spot
2025-01-02T03:45:00,35.41,4524,EPEX Spot
2025-01-02T04:00:00,47.03,2036,EPEX Spot
2025-01-02T04:15:00,30.0,2665,EPEX Spot
2025-01-02T04:30:00,66.1,3124,EPEX Spot
2025-01-02T04:45:00,70.92,2461,EPEX Spot
2025-01-02T05:00:00,78.13,3310,EPEX Spot
2025-01-02T05:15:00,43.4,4560,EPEX Spot
2025-01-02T05:30:00,33.85,4165,EPEX Spot
2025-01-02T05:45:00,79.9,4069,EPEX Spot
2025-01-02T06:00:00,177.62,2423,EPEX Spot
2025-01-02T06:15:00,130.24,4082,EPEX Spot
2025-01-02T06:30:00,142.49,2963,EPEX Spot
2025-01-02T06:45:00,165.79,4240,EPEX Spot
2025-01-02T07:00:00,144.96,2637,EPEX Spot
2025-01-02T07:15:00,150.63,1768,EPEX Spot
2025-01-02T07:30:00,120.62,1234,EPEX Spot
2025-01-02T07:45:00,127.55,4132,EPEX Spot
2025-01-02T08:00:00,148.17,2196,EPEX Spot
2025-01-02T08:15:00,136.02,3976,EPEX Spot
2025-01-02T08:30:00,127.04,4321,EPEX Spot
2025-01-02T08:45:00,143.72,3881,EPEX Spot
2025-01-02T09:00:00,62.45,1634,EPEX Spot
2025-01-02T09:15:00,80.56,563,EPEX Spot
2025-01-02T09:30:00,99.85,4473,EPEX Spot
2025-01-02T09:45:00,73.97,3247,EPEX Spot
2025-01-02T10:00:00,71.48,1016,EPEX Spot
2025-01-02T10:15:00,101.47,994,EPEX Spot
2025-01-02T10:30:00,94.67,4468,EPEX Spot
2025-01-02T10:45:00,95.96,3850,EPEX Spot
2025-01-02T11:00:00,30.0,545,EPEX Spot
2025-01-02T11:15:00,71.03,4343,EPEX Spot
2025-01-02T11:30:00,68.57,4462,EPEX Spot
2025-01-02T11:45:00,63.49,1058,EPEX Spot
2025-01-02T12:00:00,101.07,2624,EPEX Spot
2025-01-02T12:15:00,69.13,3087,EPEX Spot
2025-01-02T12:30:00,52.19,1156,EPEX Spot
2025-01-02T12:45:00,84.92,1648,EPEX Spot
2025-01-02T13:00:00,79.85,2753,EPEX Spot
2025-01-02T13:15:00,61.55,2337,EPEX Spot
2025-01-02T13:30:00,100.36,2707,EPEX Spot
2025-01-02T13:45:00,90.62,4111,EPEX Spot
2025-01-02T14:00:00,90.55,2042,EPEX Spot
2025-01-02T14:15:00,89.68,958,EPEX Spot
2025-01-02T14:30:00,101.79,4557,EPEX Spot
2025-01-02T14:45:00,76.89,2114,EPEX Spot
2025-01-02T15:00:00,55.17,4474,EPEX Spot
2025-01-02T15:15:00,75.86,3985,EPEX Spot
2025-01-02T15:30:00,46.89,3709,EPEX Spot
2025-01-02T15:45:00,58.76,4759,EPEX Spot
2025-01-02T16:00:00,112.38,4228,EPEX Spot
2025-01-02T16:15:00,57.99,1531,EPEX Spot
2025-01-02T16:30:00,56.52,3628,EPEX Spot
2025-01-02T16:45:00,93.39,918,EPEX Spot
2025-01-02T17:00:00,167.26,3136,EPEX Spot
2025-01-02T17:15:00,116.67,2314,EPEX Spot
2025-01-02T17:30:00,154.98,788,EPEX Spot
2025-01-02T17:45:00,289.87,1019,EPEX Spot
2025-01-02T18:00:00,156.61,4144,EPEX Spot
2025-01-02T18:15:00,143.95,560,EPEX Spot
2025-01-02T18:30:00,122.69,2667,EPEX Spot
2025-01-02T18:45:00,140.37,1671,EPEX Spot
2025-01-02T19:00:00,162.52,1845,EPEX Spot
2025-01-02T19:15:00,188.87,4070,EPEX Spot
2025-01-02T19:30:00,157.8,4062,EPEX Spot
2025-01-02T19:45:00,142.18,667,EPEX Spot
2025-01-02T20:00:00,126.41,3817,EPEX Spot
2025-01-02T20:15:00,146.83,3582,EPEX Spot
2025-01-02T20:30:00,142.43,1813,EPEX Spot
2025-01-02T20:45:00,156.12,3983,EPEX Spot
2025-01-02T21:00:00,78.81,4726,EPEX Spot
2025-01-02T21:15:00,280.61,1351,EPEX Spot
2025-01-02T21:30:00,72.81,4362,EPEX Spot
2025-01-02T21:45:00,114.18,4244,EPEX Spot
2025-01-02T22:00:00,61.68,4277,EPEX Spot
2025-01-02T22:15:00,35.87,4141,EPEX Spot
2025-01-02T22:30:00,70.02,3383,EPEX Spot
2025-01-02T22:45:00,30.0,1401,EPEX Spot
2025-01-02T23:00:00,32.91,1257,EPEX Spot
2025-01-02T23:15:00,33.98,4504,EPEX Spot
2025-01-02T23:30:00,76.57,3251,EPEX Spot
2025-01-02T23:45:00,46.42,4003,EPEX Spot
2025-01-03T00:00:00,37.43,4801,EPEX Spot
2025-01-03T00:15:00,53.28,2280,EPEX Spot
2025-01-03T00:30:00,60.84,4637,EPEX Spot
2025-01-03T00:45:00,81.78,3843,EPEX Spot
2025-01-03T01:00:00,30.0,1433,EPEX Spot
2025-01-03T01:15:00,75.27,3428,EPEX Spot
2025-01-03T01:30:00,30.0,2384,EPEX Spot
2025-01-03T01:45:00,68.13,3160,EPEX Spot
2025-01-03T02:00:00,73.27,1144,EPEX Spot
2025-01-03T02:15:00,74.3,2012,EPEX Spot
2025-01-03T02:30:00,61.38,3445,EPEX Spot
2025-01-03T02:45:00,30.0,959,EPEX Spot
2025-01-03T03:00:00,64.94,4692,EPEX Spot
2025-01-03T03:15:00,30.0,1087,EPEX Spot
2025-01-03T03:30:00,31.23,4558,EPEX Spot
2025-01-03T03:45:00,40.87,4637,EPEX Spot
2025-01-03T04:00:00,42.68,4476,EPEX Spot
2025-01-03T04:15:00,54.81,1722,EPEX Spot
2025-01-03T04:30:00,36.09,4870,EPEX Spot
2025-01-03T04:45:00,56.59,4237,EPEX Spot
2025-01-03T05:00:00,30.0,4038,EPEX Spot
2025-01-03T05:15:00,50.78,1363,EPEX Spot
2025-01-03T05:30:00,44.55,515,EPEX Spot
2025-01-03T05:45:00,70.28,3397,EPEX Spot
2025-01-03T06:00:00,172.29,3421,EPEX Spot
2025-01-03T06:15:00,146.6,2428,EPEX Spot
2025-01-03T06:30:00,110.81,3182,EPEX Spot
2025-01-03T06:45:00,120.51,4609,EPEX Spot
2025-01-03T07:00:00,172.47,714,EPEX Spot
2025-01-03T07:15:00,147.13,4046,EPEX Spot
2025-01-03T07:30:00,184.98,4810,EPEX Spot
2025-01-03T07:45:00,167.93,759,EPEX Spot
2025-01-03T08:00:00,155.1,3811,EPEX Spot
